Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years),LTM (-17Q)
Header,Fiscal Period,2026-Q1,2025-Q4,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,0-0,2022-Q4,2022-Q3,2022-Q2,2022-Q1
Header,Statement Date,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-10-31,2023-07-31,2023-04-30,2023-01-31,2022-12-31,2022-10-31,2022-07-31,2022-03-31
Header,Filing Date,2026-05-06,2026-02-19,2025-11-06,2025-08-06,2025-05-08,2025-02-27,2024-11-08,2024-08-01,2024-05-09,2024-02-29,2023-11-02,2023-08-09,2023-05-04,0,2023-02-23,2022-11-04,2022-08-05,2022-03-31
Revenue & Margin,Segment-1,-,-,-,-,-,-,-,-,-,Other,-,-,-,Other,-,-,-,-
Revenue & Margin,Segment-1 %,-,-,-,-,-,-,-,-,-,100.0%,-,-,-,100.0%,-,-,-,-
Revenue & Margin,Segment-2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-2 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Revenue Total ($k),"2,657,200","2,730,200","2,714,400","2,741,600","2,764,700","2,782,900","2,817,700","2,834,600","2,862,700","2,997,800","2,255,200","2,377,700","2,496,400","2,263,700","3,266,000","3,036,367","2,762,367","2,325,567"
Revenue & Margin,Rev-CoGS / Rev,44.96%,46.67%,47.15%,47.29%,46.94%,46.23%,47.62%,47.94%,48.18%,49.90%,49.42%,50.22%,52.28%,52.75%,59.28%,65.09%,70.38%,73.73%
Revenue & Margin,Rev-CoGS-SG&A / Rev,16.41%,19.34%,19.91%,20.34%,19.84%,18.67%,20.40%,20.61%,21.44%,24.44%,23.90%,25.19%,27.44%,29.06%,40.26%,49.08%,57.90%,61.66%
Revenue & Margin,Rev-CoGs-SG&A-Other.OpEx / Rev,-36.85%,-33.67%,-35.12%,-8.52%,-6.16%,-70.46%,-64.61%,-63.82%,-60.03%,4.64%,4.39%,6.70%,9.73%,9.85%,25.83%,37.34%,49.19%,56.01%
Revenue & Margin,Net Income / Rev,-45.57%,-41.45%,-43.45%,-17.01%,-12.97%,-73.74%,-66.25%,-65.60%,-61.65%,-0.34%,-0.76%,1.09%,3.94%,3.04%,16.80%,26.67%,36.43%,43.26%
EBITDA,Net Income ($k),"-1,210,900","-1,131,800","-1,179,500","-466,400","-358,700","-2,052,000","-1,866,600","-1,859,400","-1,764,900","-10,100","-17,100","25,900","98,300","68,800","548,700","809,717","1,006,217","1,006,017"
EBITDA,D & A ($k),"447,800","442,000","438,800","439,800","445,600","453,400","459,500","459,500","457,900","457,200","458,400","345,300","335,000","266,818","167,000","181,401","89,993","58,461"
EBITDA,Net Interest Expense ($k),"179,500","171,600","175,500","178,500","182,800","172,100","173,800","153,900","135,700","135,400","89,800","93,200","93,800","72,600","72,800","41,554","13,154","2,754"
EBITDA,Tax Provision ($k),"32,500","24,100","43,300","58,300","17,300","-79,500","-133,200","-127,100","-123,100","-19,000","-2,800","10,800","34,100","46,500","187,200","260,458","314,158","293,158"
EBITDA,EBITDA ($k),"-551,100","-494,100","-521,900","210,200","287,000","-1,506,000","-1,366,500","-1,373,100","-1,294,400","563,500","528,300","475,200","561,200","454,718","975,700","1,293,130","1,423,522","1,360,390"
EBITDA,Stock-Based Comp ($k),"34,200","35,100","44,700","46,300","44,700","42,200","44,900","46,700","49,700","51,600","51,100","37,000","36,100","41,000","36,600","43,327","37,027","26,999"
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,15.26,29.30,28.88,28.82,34.97,44.00,45.60,31.63,47.00,73.70,72.71,83.25,89.70,85.67,0.00,72.86,97.11,112.46
Capital Structure,O/S Shares,"68,200,000","67,800,000","68,000,000","67,700,000","67,500,000","67,200,000","67,300,000","67,099,999","66,900,000","66,900,000","66,900,000","66,800,000","66,599,999","66,300,000",0,"66,900,000","52,200,000","41,900,000"
Capital Structure,Market Capitalization ($k),"1,040,732","1,986,540","1,963,840","1,951,114","2,360,475","2,956,800","3,068,880","2,122,373","3,144,300","4,930,530","4,864,299","5,561,100","5,974,020","5,679,921",0,"4,874,334","5,069,142","4,712,074"
Capital Structure,Cash ($k),"140,400","169,800","98,100","151,700","127,100","98,300","143,700","107,000","78,500","118,900","149,300","178,600","353,900","292,900",0,"212,200","379,000","1,275,536"
Capital Structure,Debt ($k),"2,874,700","2,833,900","2,843,800","2,792,700","2,694,200","2,681,400","2,755,700","2,770,800","2,612,700","2,614,100","2,669,800","2,723,400","2,796,500","2,849,100",0,"2,874,800","2,931,500","145,383"
Capital Structure,Enterprise Value ($k),"3,775,032","4,650,640","4,709,540","4,592,114","4,927,575","5,539,900","5,680,880","4,786,173","5,678,500","7,425,730","7,384,799","8,105,900","8,416,620","8,236,121",0,"7,536,934","7,621,642","3,581,921"
Capital Structure,netCommonStockIssuance ($k),"1,800",100,"2,900",100,"3,000",-900,400,"4,100",500,"-3,700",800,"5,500","1,800","21,200",0,"-73,500",900,"3,500"
Capital Structure,netDebtIssuance ($k),"36,900","-10,800","44,000","105,900","16,000","-36,000","-26,300","160,900","-13,200","-53,600","-49,000","-71,900","-51,900","-52,200",0,"-52,000","450,500",-100
Liquidity & Cash Flow,DSO,62.3,59.0,60.5,60.0,62.0,62.9,63.3,63.0,60.9,57.5,80.4,56.3,58.4,66.8,46.4,61.8,61.1,55.7
Liquidity & Cash Flow,DIO,148.6,146.2,145.6,142.2,141.6,140.0,144.7,143.1,138.7,133.7,171.7,123.0,121.7,137.6,87.2,126.5,126.0,118.9
Liquidity & Cash Flow,DPO,59.6,59.1,57.8,59.5,59.8,59.8,63.6,64.0,62.9,61.7,80.3,57.9,58.7,65.9,44.4,64.4,65.7,65.9
Liquidity & Cash Flow,CCC,151.3,146.1,148.2,142.7,143.8,143.1,144.4,142.1,136.7,129.5,171.9,121.4,121.4,138.5,89.2,123.8,121.4,108.7
Liquidity & Cash Flow,OCF ($k),"6,600","105,200","37,000","200,400","149,300","83,000","99,700","23,300","90,600","280,200","369,200","327,700","348,600","384,328","715,900","1,037,277","1,124,036","721,384"
Liquidity & Cash Flow,CapEx ($k),"-122,000","-77,900","-79,800","-77,100","-118,900","-195,100","-196,500","-193,400","-209,400","-209,300","-222,400","-179,000","-158,200","-118,498","-79,200","-111,525","-187,888","-236,835"
Liquidity & Cash Flow,FCF ($k),"-75,200","27,300","-42,800","123,300","30,400","-112,100","-96,800","-170,100","-118,800","70,900","146,800","148,700","190,400","265,830","636,700","925,752","936,148","484,549"
BQR-Mid-Mkt,Total Debt / Equity,1.6x,1.5x,1.4x,1.0x,0.9x,0.9x,0.9x,0.9x,0.8x,0.5x,0.5x,0.5x,0.6x,0.6x,999.0x,0.6x,0.6x,0.1x
BQR,Total Debt / Adj Ebitda,999.0x,999.0x,999.0x,13.3x,9.4x,999.0x,999.0x,999.0x,999.0x,4.6x,5.1x,5.7x,5.0x,6.3x,0.0x,2.2x,2.1x,0.1x
BQR,Adj Ebitda / Interest Expense,-999.0x,-999.0x,-999.0x,1.2x,1.6x,-999.0x,-999.0x,-999.0x,-999.0x,4.2x,5.9x,5.1x,6.0x,6.3x,13.4x,31.1x,108.2x,494.0x
BQR,Net Income before extraordinary ($k),"-1,210,900","-1,131,800","-1,179,500","-466,400","-358,700","-2,052,000","-1,866,600","-1,859,400","-1,764,900","-10,100","-17,100","25,900","98,300","68,800","548,700","809,717","1,006,217","1,006,017"
BQR,(NCO-CAPEX) / Total Debt,-2.62%,0.96%,-1.51%,4.42%,1.13%,-4.18%,-3.51%,-6.14%,-4.55%,2.71%,5.50%,5.46%,6.81%,9.33%,99900.00%,32.20%,31.93%,333.29%
BQR,Score: Operating Leverage,75,75,75,75,75,75,75,75,75,55,58,65,58,75,15,42,42,15
BQR,Score: ICR,75,75,75,75,65,75,75,75,75,55,48,48,48,48,35,15,15,15
BQR,Score: Net Income,75,75,75,75,75,75,75,75,75,65,65,48,42,45,35,35,25,25
BQR,Score: FCF/Debt,75,75,75,75,75,75,75,75,75,75,75,75,65,58,15,35,35,15
BQR,BQR,75.0,75.0,75.0,75.0,73.5,75.0,75.0,75.0,75.0,62.5,62.5,60.7,54.2,59.2,23.0,34.5,31.9,17.5
